Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-09-2019,25,32.5,28.1,72,0,7,4,170,1,C 
02-09-2019,25,32.6,28.3,73,0,5.3,5,310,2,C 
03-09-2019,26,33.2,29,71,0,6.4,4,220,1,C 
04-09-2019,25,31.8,28.8,71,0,5,6,330,2,C 
05-09-2019,25,31.8,28.8,72,0,5.5,5,170,2,C 
06-09-2019,25,32,28,70,0,4.4,4,290,1,C 
07-09-2019,26,33,28.5,69,0,5.2,3,100,1,C 
08-09-2019,26,33,28.9,65,0,6,3,21,1,C 
09-09-2019,25,32,28.5,70,0,5,5,320,1,C 
10-09-2019,26,35,29.8,57,8888,7.2,7,120,2,C 
11-09-2019,25,34.6,28.6,66,0,8,3,40,1,C 
12-09-2019,25,32.8,28.4,62,0,8.5,3,250,1,C 
13-09-2019,25,32,28.2,64,0,5,5,280,1,C 
14-09-2019,24,31.6,27,67,0,6,4,260,1,C 
15-09-2019,24,32.6,27.9,70,0,7,4,330,1,C 
16-09-2019,26,32.8,28.9,68,0,7.5,3,230,1,C 
17-09-2019,25,33,29.5,67,,6,5,100,2,C 
18-09-2019,25,33.4,28.4,78,0,6.8,6,290,2,C 
19-09-2019,26,33.6,29.6,71,0,6.7,4,80,2,C 
20-09-2019,26,33.4,28.9,67,0,7,4,290,1,C 
21-09-2019,26,33,29.1,64,0,8.3,3,250,1,C 
22-09-2019,25,32,28.5,70,,6.8,3,260,1,C 
23-09-2019,26,33.2,29,70,0,8,3,100,2,E 
24-09-2019,26,33.8,29.7,66,0,7,3,150,1,C 
25-09-2019,25,32.2,28.8,72,0,7,5,340,2,C 
26-09-2019,27,35,29.9,70,0,7.3,6,310,1,C 
27-09-2019,27,33.6,29.9,68,0,8.5,4,330,2,C 
28-09-2019,27,32.4,29.4,71,0,6.5,4,120,1,C 
29-09-2019,27,32.4,29.1,72,0,5,4,60,1,C 
30-09-2019,27,34,29.6,67,0,8,5,90,1,C 
01-10-2019,26,32.4,28.6,70,0,6.3,4,330,1,C 
