Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-06-2019,27,33.2,29.4,72,0,6.5,3,310,1,C 
02-06-2019,27,32.6,29.5,74,0,5.2,6,320,2,C 
03-06-2019,27,32.8,28.6,71,0,4.3,4,130,1,C 
04-06-2019,26,33.6,29.6,71,0,1,6,80,2,E 
05-06-2019,26,34.2,29.5,74,0,5,4,40,1,C 
06-06-2019,27,34,30,75,0,6.5,4,50,2,E 
07-06-2019,27,32.4,29.3,73,0,5,4,200,1,C 
08-06-2019,24,33.2,29.1,79,18.1,3.2,6,270,2,C 
09-06-2019,25,32.8,29.1,76,0,4.7,6,320,1,C 
10-06-2019,26,33.6,29.1,70,0,5.7,3,130,1,C 
11-06-2019,26,33.8,29.7,74,0,6.2,3,330,1,C 
12-06-2019,27,33.4,29.7,74,0,5,3,330,1,C 
13-06-2019,28,32.4,29.8,75,0,5.5,5,280,1,C 
14-06-2019,26,31.6,28.6,78,0,4.2,4,230,1,C 
15-06-2019,26,32.4,29.2,77,5,2,3,80,1,C 
16-06-2019,27,33.6,29.5,74,0,4,5,290,2,C 
17-06-2019,25,33.2,29.3,72,0,2.5,4,100,1,C 
18-06-2019,25,33.4,28.8,70,0,4.8,3,150,1,C 
19-06-2019,25,34.4,29.5,72,,6.2,4,110,1,C 
20-06-2019,27,34.4,29.6,66,0,6.5,4,290,1,C 
21-06-2019,26,33.2,28.6,72,0,5.3,6,310,1,C 
22-06-2019,26,32.2,28.5,71,0,6.5,3,300,1,C 
23-06-2019,26,32.4,28.9,72,0,6.5,6,70,2,C 
24-06-2019,25,33.4,29.2,69,0,4.4,3,70,1,C 
25-06-2019,25,34.2,29.1,67,0,4.2,5,70,2,C 
26-06-2019,26,33.6,29.1,67,0,6.5,3,300,1,C 
27-06-2019,25,33.2,28.4,72,0,5,4,320,1,C 
28-06-2019,26,33.4,29.1,69,0,6.5,5,70,1,C 
29-06-2019,25,33.4,28.7,66,0,5.5,3,100,1,C 
30-06-2019,26,33.6,28.8,65,0,6.2,4,320,1,C 
01-07-2019,26,33.4,28.7,70,0,6.6,4,80,1,C 
