Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-02-2019,25,31,27,83,8.1,3.5,3,260,1,C 
02-02-2019,24,30.8,27.9,80,2.2,3.2,5,300,2,C 
03-02-2019,25.8,31.4,28,83,0,4.8,4,280,1,C 
04-02-2019,26.6,31.6,28.5,80,14,6.5,7,290,2,C 
05-02-2019,25.2,31.8,28.5,80,0,2.8,5,300,1,C 
06-02-2019,26.2,31,27.4,84,4.5,5.4,4,180,1,C 
07-02-2019,24,31.8,29.2,77,4.2,4,4,340,1,C 
08-02-2019,26.2,31.6,28.4,83,0,7.6,7,330,2,C 
09-02-2019,26.4,32.6,28.8,74,0,7.8,5,190,1,C 
10-02-2019,25,32.6,27.9,82,0,5,5,290,2,C 
11-02-2019,25,31.6,26.8,83,20.1,6,5,290,1,C 
12-02-2019,25.6,29.8,27.8,82,14.5,4.3,4,290,2,W 
13-02-2019,25.6,31.6,28.4,78,49,3,4,240,1,C 
14-02-2019,24.6,31.8,28.7,76,0,1,4,40,1,C 
15-02-2019,25.6,30.2,28.2,79,0,9,4,330,1,C 
16-02-2019,25.5,30.6,27.6,84,20.5,3,4,280,1,C 
17-02-2019,24.6,30.8,27.5,80,45,2.5,4,260,1,C 
18-02-2019,24.8,32.2,29,76,8888,7,6,310,2,C 
19-02-2019,27,33,29.3,76,8888,4.2,4,340,1,C 
20-02-2019,26.6,31,28.1,84,24,6,4,310,1,C 
21-02-2019,26,31.4,27.6,86,21.7,1.4,4,310,1,C 
22-02-2019,25.6,31,27.8,80,10.4,2,5,260,2,C 
23-02-2019,24,31.5,27.8,82,27,3,6,330,2,C 
24-02-2019,25.8,32,28.4,77,2.4,7,5,320,2,C 
25-02-2019,25,32.4,29.2,76,0,5.2,5,320,2,NW
26-02-2019,26.4,34,29.7,76,0,6,4,90,2,C 
27-02-2019,26,33.6,29.1,83,0,8.9,4,290,1,C 
28-02-2019,26.6,32.6,29.1,82,2.5,8,7,360,1,C 
01-03-2019,26.8,31,28.3,80,1,5,5,310,2,C 
