Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-04-2019,26.6,32.6,28.3,76,8888,4.5,4,200,2,C 
02-04-2019,25,33,27.7,79,12,5,6,280,2,C 
03-04-2019,25,32.8,28.1,82,8.8,6.1,6,290,2,C 
04-04-2019,25.2,32.8,29.4,74,5.6,7.8,4,300,2,NW
05-04-2019,26.8,32.2,28.5,79,8888,6,5,320,2,C 
06-04-2019,26.6,32.4,28.5,80,1.7,3.5,4,200,1,C 
07-04-2019,25,33.2,28,78,2,5.5,6,280,1,C 
08-04-2019,24.8,33.2,29.1,82,50.6,6.8,6,270,2,C 
09-04-2019,25,32.2,28.6,80,3.5,5.2,6,310,2,C 
10-04-2019,25,32.8,29.5,74,0,3,4,200,1,C 
11-04-2019,26,35.2,30.4,70,0,3,7,300,2,C 
12-04-2019,26,33,29.5,75,0,6.9,4,280,2,W 
13-04-2019,27,33.2,29.8,75,0,3.9,8,330,2,C 
14-04-2019,25.8,34,29.6,70,1,6.3,4,260,1,C 
15-04-2019,26,33,28.8,78,0,6.2,6,320,2,C 
16-04-2019,25,33.2,28.3,81,6.8,3.6,5,320,1,C 
17-04-2019,26,32.4,28.9,80,1.8,4,3,300,1,C 
18-04-2019,26.4,34.6,30.7,74,0,5.3,6,120,2,C 
19-04-2019,26,32,27.9,86,18.2,6.9,5,100,1,C 
20-04-2019,25,30.8,27.8,83,12.9,2.8,4,330,1,C 
21-04-2019,25.6,33.8,29.4,80,5.6,0.5,5,290,2,C 
22-04-2019,27.2,34.8,30.1,69,11,5.5,6,280,2,C 
23-04-2019,25.2,34.4,30.3,72,0,6.6,7,100,2,C 
24-04-2019,27.4,30.6,28,84,0,5,4,340,1,C 
25-04-2019,25.4,34.2,29.3,77,22.8,0,4,80,1,C 
26-04-2019,26,33.2,28.3,84,13.2,6,5,320,1,C 
27-04-2019,26.2,30.8,27.9,85,1.8,4.3,4,320,1,C 
28-04-2019,27,31,28.5,82,0,0.1,3,200,1,C 
29-04-2019,26.4,31.4,28.9,81,5.5,2.3,3,270,1,C 
30-04-2019,26.4,31.6,28.2,83,9.8,0.5,4,80,1,C 
01-05-2019,26,31.4,28.6,76,24.5,1.5,5,240,3,W 
