Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-03-2019,26.8,31,28.3,80,1,5,5,310,2,C 
02-03-2019,23.8,31.8,28.5,78,0.9,3.2,5,360,2,C 
03-03-2019,25,30,27.1,86,3.5,3,3,300,1,C 
04-03-2019,24.2,32,28,82,34.5,0.8,4,360,2,C 
05-03-2019,24,31.6,27.5,82,75.6,8,3,360,1,C 
06-03-2019,24.6,29,25.7,88,90.5,4,3,200,1,C 
07-03-2019,24,30.4,27.2,78,5.4,0,5,320,1,C 
08-03-2019,25,32,28.6,79,0,0,8,320,2,C 
09-03-2019,24.4,31.8,27.5,81,22,7.5,7,320,2,C 
10-03-2019,25,32,28.4,77,0,4,5,210,1,C 
11-03-2019,26.2,31.8,28.1,78,0.4,2.2,6,240,2,C 
12-03-2019,25,30,27.1,84,4.1,3.1,6,340,2,C 
13-03-2019,24.8,32,28,79,6.8,0.6,4,300,1,C 
14-03-2019,24,32.4,27.9,73,28,2,3,200,1,C 
15-03-2019,24.6,32.8,28.7,78,0,5.3,7,320,2,C 
16-03-2019,25,32.2,28.6,74,0.5,5,5,220,2,C 
17-03-2019,26.2,31.8,27.8,78,0,3.4,5,310,2,C 
18-03-2019,25.4,32.8,28,76,7.8,1,5,280,1,C 
19-03-2019,25.8,30.4,27.7,78,2.8,2.6,5,280,2,W 
20-03-2019,25,31.6,28.3,77,,1,8,320,3,SW
21-03-2019,26.2,32.2,28.4,76,0,7,5,300,2,C 
22-03-2019,26.8,32.8,29.2,74,0,3,4,150,2,C 
23-03-2019,27,33.8,29.2,76,3.2,7,7,360,2,C 
24-03-2019,25,33.8,29.1,74,1.2,6,4,270,2,W 
25-03-2019,26.4,32.6,27.7,80,0,7,4,260,1,C 
26-03-2019,25.6,33.2,28.8,79,5,3.2,8,260,2,C 
27-03-2019,25,33,28.2,82,10.5,8.3,4,270,1,C 
28-03-2019,25,34.8,29.4,74,17,6.4,5,290,2,C 
29-03-2019,25,33.2,28.7,77,1,2.5,9,330,2,C 
30-03-2019,25.8,32.6,28.7,79,5,7.3,4,340,1,C 
31-03-2019,25.8,32.6,28.5,78,0.6,6.5,7,310,1,C 
01-04-2019,26.6,32.6,28.3,76,8888,4.5,4,200,2,C 
