Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2019,26,31.4,28.6,76,24.5,1.5,5,240,3,W 
02-05-2019,25.6,34.4,29.6,72,0,1,4,260,2,W 
03-05-2019,26.4,32.4,29.2,78,0,6,4,360,1,C 
04-05-2019,27,32.6,29.5,79,8888,6,4,300,2,C 
05-05-2019,26,32.6,29.1,80,8,5,6,310,2,C 
06-05-2019,27,32,29,78,8888,6,3,340,1,C 
07-05-2019,26,33.2,29.4,77,0,1.5,5,310,1,C 
08-05-2019,27,33.4,29,77,0,6,3,270,1,C 
09-05-2019,26,33.2,28.8,78,0,5.2,6,330,2,C 
10-05-2019,26,31.8,28.4,78,8,6.4,4,290,1,C 
11-05-2019,26,33,29.4,81,3.8,2.6,3,110,1,C 
12-05-2019,27,34.2,29.9,76,0,5,4,260,1,C 
13-05-2019,27,34.2,30,72,0,,8,330,1,C 
14-05-2019,28,34.8,30.3,72,0,6.8,4,50,2,E 
15-05-2019,26,34.4,30.4,74,0,6.4,4,90,2,E 
16-05-2019,25,32.8,29.1,77,0,4.5,4,330,1,C 
17-05-2019,26,32.4,28.7,80,1.2,5,4,350,1,C 
18-05-2019,26,32.4,29.1,77,2.3,5,4,130,1,C 
19-05-2019,27,33.4,29.6,70,0,3,4,80,2,E 
20-05-2019,27,34.4,30.3,72,0,6,4,350,2,C 
21-05-2019,28,34.2,30.3,71,0,6.2,4,70,1,C 
22-05-2019,27,33.8,29.8,69,0,7,4,290,2,C 
23-05-2019,27,35,30.5,68,0,6,5,100,2,E 
24-05-2019,27,34.6,30.2,66,0,6.4,3,70,1,C 
25-05-2019,27,34,29.6,71,0,6.5,4,40,1,C 
26-05-2019,27,33.8,29.8,70,0,6.3,5,330,1,C 
27-05-2019,27,34.8,30.6,69,,5.5,5,60,2,E 
28-05-2019,27,34.4,30.3,68,0,6.5,4,60,2,C 
29-05-2019,28,34.4,30.1,72,0,6.3,6,120,2,E 
30-05-2019,27,33.8,29.5,73,0,6,3,150,1,C 
31-05-2019,26,34.8,30.6,66,0,6.5,4,330,1,C 
01-06-2019,27,33.2,29.4,72,0,6.5,3,310,1,C 
