nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
P.A. Pluit,Waduk Pluit,-6.109642,106.796954,2019-11-01 05:10:00,-2020,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2019-11-01 05:10:00,490,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2019-11-01 05:10:00,400,Status : Normal
Pompa Tanjungan,Tanjungan,-6.106601,106.725045,2019-10-27 22:45:00,-650,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2019-11-01 00:00:00,400,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2019-11-01 05:10:00,3360,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2019-11-01 05:10:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2019-11-01 05:10:00,400,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2019-11-01 05:10:00,1760,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2019-11-01 05:10:00,2320,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2019-11-01 05:10:00,1850,Status : Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2019-11-01 05:00:00,1070,Status : Normal
