nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-10-31 23:00:00,400,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-10-31 23:50:00,1520,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-10-31 23:50:00,6080,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-10-31 23:50:00,530,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-10-31 23:50:00,120,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-10-31 23:40:00,2720,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2020-10-31 23:50:00,1650,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2020-10-31 23:00:00,1700,Status : Siaga 3
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2020-10-31 23:40:00,-2040,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2020-10-31 23:50:00,880,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2020-10-31 23:00:00,500,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2020-10-31 23:50:00,650,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2020-10-31 23:50:00,3400,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-10-31 23:50:00,230,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-10-31 23:50:00,390,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-10-31 23:00:00,500,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-10-31 23:50:00,2240,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-10-31 23:50:00,1360,Status : Normal
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2020-10-31 23:50:00,1820,Status : Siaga 3
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-10-31 19:00:34,1300,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-10-31 23:00:00,400,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-11-01 00:50:00,1450,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-11-01 00:50:00,6550,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-11-01 00:50:00,380,Status : Normal
