nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2020-02-01 05:00:00,0,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2020-01-31 07:00:40,900,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2020-02-01 05:10:00,2020,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2020-02-01 05:10:00,2140,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2020-02-01 05:10:00,1850,Status : Siaga 2
P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,2020-02-01 05:10:00,1960,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2020-02-01 05:10:00,1620,Status : Normal
PA. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2020-02-01 05:40:00,-40,Status : Normal
PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2020-02-01 05:40:00,120,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2020-02-01 05:40:00,880,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2020-02-01 05:40:00,6290,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2020-01-31 15:00:11,200,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2020-02-01 05:40:00,430,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2020-02-01 05:40:00,3350,Status : Normal
