nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2021-10-01 03:20:00,1340,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-10-01 03:20:00,2180,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-10-01 03:50:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-10-01 03:50:00,300,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-10-01 03:50:00,1130,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-10-01 03:50:00,6140,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-10-01 03:50:00,400,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-10-01 03:50:00,310,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2021-10-01 03:50:00,2800,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2021-10-01 03:50:00,1430,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2021-10-01 03:50:00,1410,Status : Normal
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2021-10-01 03:50:00,-1830,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2021-10-01 03:50:00,970,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2021-10-01 03:50:00,500,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2021-10-01 03:50:00,900,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2021-10-01 03:50:00,3340,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2021-10-01 03:50:00,410,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2021-10-01 03:50:00,1220,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2021-10-01 03:50:00,1720,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2021-10-01 03:50:00,1400,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2021-10-01 03:50:00,1040,Status : Normal
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2021-10-01 03:50:00,1350,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-10-01 03:50:00,2210,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-10-01 04:20:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-10-01 04:20:00,290,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-10-01 04:20:00,1100,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-10-01 04:20:00,6090,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-10-01 04:20:00,380,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-10-01 04:20:00,280,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2021-10-01 04:20:00,2770,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2021-10-01 04:20:00,1430,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2021-10-01 04:20:00,1440,Status : Normal
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2021-10-01 04:20:00,-1850,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2021-10-01 04:20:00,960,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2021-10-01 04:20:00,500,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2021-10-01 04:20:00,900,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2021-10-01 04:20:00,3290,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2021-10-01 04:20:00,510,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2021-10-01 04:20:00,1180,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2021-10-01 04:20:00,1720,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2021-10-01 04:20:00,1390,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2021-10-01 04:20:00,1030,Status : Normal
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2021-10-01 04:20:00,1350,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-10-01 04:20:00,2230,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-10-01 04:50:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-10-01 04:50:00,290,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-10-01 04:50:00,1080,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-10-01 04:50:00,6050,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-10-01 04:50:00,360,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-10-01 04:50:00,300,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2021-10-01 04:50:00,2730,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2021-10-01 04:50:00,1460,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2021-10-01 04:50:00,1470,Status : Normal
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2021-10-01 04:50:00,-1880,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2021-10-01 04:50:00,940,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2021-10-01 04:50:00,500,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2021-10-01 04:50:00,900,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2021-10-01 04:50:00,3280,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2021-10-01 04:50:00,500,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2021-10-01 04:50:00,1140,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2021-10-01 04:50:00,1710,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2021-10-01 04:50:00,1400,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2021-10-01 04:50:00,1030,Status : Normal
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2021-10-01 04:50:00,1370,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-10-01 04:50:00,2250,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-10-01 05:20:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-10-01 05:20:00,280,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-10-01 05:10:00,1070,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-10-01 05:20:00,6050,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-10-01 05:20:00,340,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-10-01 05:20:00,290,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2021-10-01 05:20:00,2710,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2021-10-01 05:20:00,1480,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2021-10-01 05:20:00,1530,Status : Normal
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2021-10-01 05:20:00,-1870,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2021-10-01 05:20:00,930,Status : Normal
PS. Angke Hulu,Angke,-6.220047,106.694137,2021-10-01 05:20:00,500,Status : Normal
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2021-10-01 05:20:00,900,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2021-10-01 05:20:00,3280,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2021-10-01 05:20:00,500,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2021-10-01 05:20:00,1130,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2021-10-01 05:20:00,1710,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2021-10-01 05:20:00,1370,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2021-10-01 05:20:00,1030,Status : Normal
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2021-10-01 05:20:00,1380,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-10-01 05:20:00,2260,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-10-01 05:50:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-10-01 05:50:00,270,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-10-01 05:50:00,1040,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-10-01 05:50:00,6020,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-10-01 05:50:00,320,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-10-01 05:50:00,290,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2021-10-01 05:50:00,2700,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2021-10-01 05:50:00,1570,Status : Normal
