nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-08-01 02:20:00,2410,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-08-01 02:50:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-08-01 02:50:00,620,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-08-01 02:50:00,1210,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-08-01 02:50:00,6730,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-08-01 02:50:00,1320,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-08-01 02:50:00,250,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2021-08-01 02:50:00,3090,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2021-08-01 02:50:00,1650,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2021-08-01 02:00:00,1700,Status : Siaga 3
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2021-08-01 02:50:00,-1950,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2021-08-01 02:50:00,2130,Status : Siaga 3
PS. Angke Hulu,Angke,-6.220047,106.694137,2021-08-01 02:50:00,1670,Status : Siaga 3
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2021-08-01 02:50:00,960,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2021-08-01 02:50:00,3390,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2021-08-01 02:50:00,660,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2021-08-01 02:50:00,1330,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2021-07-30 14:00:00,600,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2021-08-01 02:40:00,1740,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2021-08-01 02:50:00,1000,Status : Normal
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2021-08-01 02:50:00,1710,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-08-01 02:50:00,2410,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-08-01 03:20:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-08-01 03:20:00,600,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-08-01 03:20:00,1170,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-08-01 03:20:00,6990,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-08-01 03:20:00,1320,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-08-01 03:20:00,250,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2021-08-01 03:20:00,3270,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2021-08-01 03:20:00,1590,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2021-08-01 03:00:00,1650,Status : Normal
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2021-08-01 03:20:00,-1930,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2021-08-01 03:20:00,2140,Status : Siaga 3
PS. Angke Hulu,Angke,-6.220047,106.694137,2021-08-01 03:20:00,1700,Status : Siaga 3
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2021-08-01 03:20:00,960,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2021-08-01 03:20:00,3390,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2021-08-01 03:20:00,620,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2021-08-01 03:20:00,1290,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2021-07-30 14:00:00,600,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2021-08-01 03:20:00,1740,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2021-08-01 03:20:00,990,Status : Normal
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2021-08-01 03:20:00,1670,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-08-01 03:20:00,2450,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-08-01 03:50:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-08-01 03:50:00,560,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-08-01 03:50:00,1130,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-08-01 03:50:00,7160,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-08-01 03:50:00,1320,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-08-01 03:50:00,250,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2021-08-01 03:50:00,3440,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2021-08-01 03:40:00,1590,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2021-08-01 03:00:00,1650,Status : Normal
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2021-08-01 03:50:00,-1930,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2021-08-01 03:50:00,2150,Status : Siaga 3
PS. Angke Hulu,Angke,-6.220047,106.694137,2021-08-01 03:50:00,1710,Status : Siaga 3
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2021-08-01 03:50:00,960,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2021-08-01 03:50:00,3390,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2021-08-01 03:50:00,580,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2021-08-01 03:50:00,1260,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2021-07-30 14:00:00,600,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2021-08-01 03:50:00,1780,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2021-08-01 03:50:00,970,Status : Normal
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2021-08-01 03:40:00,1660,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-08-01 03:40:00,2460,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-08-01 04:20:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-08-01 04:00:00,550,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-08-01 04:20:00,1110,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-08-01 04:20:00,7320,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-08-01 04:20:00,1310,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-08-01 04:20:00,250,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2021-08-01 04:20:00,3590,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2021-08-01 04:20:00,1580,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2021-08-01 04:00:00,1600,Status : Normal
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2021-08-01 04:20:00,-1930,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2021-08-01 04:20:00,2180,Status : Siaga 3
PS. Angke Hulu,Angke,-6.220047,106.694137,2021-08-01 04:20:00,1710,Status : Siaga 3
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2021-08-01 04:20:00,960,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2021-08-01 04:20:00,3390,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2021-08-01 04:20:00,550,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2021-08-01 04:20:00,1260,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2021-07-30 14:00:00,600,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2021-08-01 04:20:00,1840,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2021-08-01 04:20:00,950,Status : Normal
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2021-08-01 04:20:00,1650,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-08-01 04:20:00,2450,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-08-01 04:50:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-08-01 04:50:00,470,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-08-01 04:50:00,1390,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-08-01 04:50:00,7470,Status : Normal
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-08-01 04:50:00,1310,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-08-01 04:50:00,250,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2021-08-01 04:50:00,3740,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2021-08-01 04:50:00,1570,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2021-08-01 04:00:00,1600,Status : Normal
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2021-08-01 04:50:00,-1930,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2021-08-01 04:50:00,2180,Status : Siaga 3
PS. Angke Hulu,Angke,-6.220047,106.694137,2021-08-01 04:50:00,1710,Status : Siaga 3
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2021-08-01 04:50:00,960,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2021-08-01 04:40:00,3390,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2021-08-01 04:50:00,540,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2021-08-01 04:50:00,1240,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2021-07-30 14:00:00,600,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2021-08-01 04:50:00,1820,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2021-08-01 04:50:00,960,Status : Normal
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2021-08-01 04:50:00,1640,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-08-01 04:50:00,2390,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-08-01 05:20:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-08-01 05:20:00,440,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-08-01 05:20:00,1360,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-08-01 05:10:00,7540,Status : Siaga 3
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-08-01 05:20:00,1310,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-08-01 05:20:00,240,Status : Normal
P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,2021-08-01 05:20:00,3840,Status : Normal
P.A. Marina Ancol ,Laut,-6.125585,106.830154,2021-08-01 05:20:00,1580,Status : Normal
Pompa Pasar Ikan,Laut,-6.126132,106.809783,2021-08-01 05:00:00,1580,Status : Normal
Pompa. Pluit,Waduk Pluit,-6.109642,106.796954,2021-08-01 05:20:00,-1930,Status : Normal
PS. Pesanggrahan,Pesanggrahan,-6.397111,106.771825,2021-08-01 05:20:00,2170,Status : Siaga 3
PS. Angke Hulu,Angke,-6.220047,106.694137,2021-08-01 05:20:00,1700,Status : Siaga 3
PS. Sunter Hulu,Sunter,-6.31792,106.920901,2021-08-01 05:20:00,960,Status : Normal
PA. Pulo Gadung,Sunter,-6.191,106.904194,2021-08-01 05:20:00,3390,Status : Normal
Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,2021-08-01 05:20:00,520,Status : Normal
PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,2021-08-01 05:20:00,1240,Status : Normal
Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,2021-07-30 14:00:00,600,Status : Normal
P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,2021-08-01 05:20:00,1770,Status : Normal
P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,2021-08-01 05:20:00,980,Status : Normal
P.A. Flusing Ancol,Ciliwung,-6.129859,106.831254,2021-08-01 05:20:00,1650,Status : Normal
P.A. Hek,Kali Baru Timur,-6.287305,106.87063,2021-08-01 05:20:00,2340,Status : Siaga 3
Bendung. Cibalok - Gadog,Ciliwung,-6.653417,106.869551,2021-08-01 05:50:00,50,Status : Normal
Bendung. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,2021-08-01 05:50:00,420,Status : Normal
PS. Depok,Ciliwung,-6.400514,106.832143,2021-08-01 05:50:00,1340,Status : Normal
PA. Manggarai,Ciliwung,-6.207825,106.848458,2021-08-01 05:50:00,7720,Status : Siaga 3
PS. Krukut Hulu,Krukut,-6.3439,106.798874,2021-08-01 05:50:00,1300,Status : Normal
Pompa Cideng,Cideng Siantar,-6.173271,106.806351,2021-08-01 05:40:00,250,Status : Normal
